name,type,start_time,duration,"register","addr","data","waits","pkey"
"TPM SPI","read",5.19977381,1.574e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",5.19977669,1.566e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","write",5.19977964,1.582e-06,"TPM_ACCESS_0","d40000","20",0x0000000000000001,
"TPM SPI","read",5.19993901,1.57e-06,"TPM_ACCESS_0","d40000","81",0x0000000000000001,
"TPM SPI","read",5.19994189,1.594e-06,"TPM_ACCESS_0","d40000","81",0x0000000000000001,
"TPM SPI","read",5.19995576,1.604e-06,"TPM_ACCESS_0","d40000","81",0x0000000000000001,
"TPM SPI","write",5.19995872,1.602e-06,"TPM_ACCESS_0","d40000","02",0x0000000000000001,
"TPM SPI","read",5.20011812,1.604e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",5.20012104,1.598e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",5.20012397,1.576e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
