name,type,start_time,duration,"register","addr","data","waits","pkey"
"TPM SPI","read",5.21438383,1.578e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21438676,1.564e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21438966,1.572e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.21455199,1.576e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21455491,1.606e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21455786,1.604e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.2147202,1.598e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21472313,1.574e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21472607,1.562e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.21488837,1.564e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21489127,1.588e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21489421,1.602e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.21505656,1.604e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.2150595,1.6e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21506246,1.578e-06,"TPM_DATA_FIFO_0","d40024","01",0x0000000000000001,
"TPM SPI","read",5.21522478,1.576e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21522771,1.564e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21523061,1.58e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.21539291,1.586e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.21539584,1.604e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.2153988,1.596e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
